Company ID,Companies,First Financing Date,Last Known Valuation Date,Last Known Valuation,First Financing Valuation,First Financing Size,Emerging Spaces,Primary Industry Code,Unicorn Status
161968-06,2Mee,2015.0821917808219,2022.7452054794521,2.73,2.35,0.22,0,Communication Software,0
168152-14,2ULaundry,2016.690410958904,2023.0821917808219,75.0,1.9,0.4,0,Other Services (B2C Non-Financial),0
180744-13,3T Biosciences,2017.7589041095891,2022.6465753424657,100.0,32.0,12.0,AI-powered Drug Discovery,Drug Discovery,0
182131-57,4D Path,2017.4328767123288,2023.3342465753424,112.97,2.75,0.25,0,Other Healthcare Technology Systems,0
163535-95,98point6,2015.33698630137,2023.1753424657534,100.0,5.0,0.75,0,Clinics/Outpatient Services,0
179022-16,9fin,2017.7780821917809,2022.876712328767,95.0,2.67,0.7,0,Media and Information Services (B2B),0
227813-59,A2 Biotherapeutics,2018.2465753424658,2022.9561643835616,462.5,49.5,7.5,0,Drug Discovery,0
167366-44,AADYAH Aerospace,2016.8,2022.0767123287671,8.61,3.59,0.39,0,Aerospace and Defense,0
82927-63,AB Tasty,2014.7342465753425,2022.8958904109588,155.73,6.47,1.42,0,Business/Productivity Software,0
226198-54,Abacus Insights,2018.0,2022.454794520548,140.32,20.0,5.9,0,Enterprise Systems (Healthcare),0
65167-66,Abpro,2007.717808219178,2022.2602739726028,642.0,10.01,1.8,0,Drug Discovery,0
224031-88,Abre,2017.7506849315068,2023.0328767123287,13.75,3.4,1.6,0,Business/Productivity Software,0
160000-12,Acalvio,2015.6657534246576,2022.5424657534247,164.76,16.96,6.96,0,Network Management Software,0
158217-22,Accelus,2016.323287671233,2022.5260273972603,342.0,38.57,4.07,0,Therapeutic Devices,0
226335-34,Access Fintech,2017.1150684931506,2022.7232876712328,810.16,6.62,2.0,0,Financial Software,0
162217-99,Aclaimant,2017.123287671233,2023.0054794520547,58.1,8.46,2.96,0,Media and Information Services (B2B),0
61927-03,Acorns,2013.7479452054795,2022.1835616438357,1800.0,6.15,1.15,0,Other Financial Services,1
230540-23,Activ Surgical,2017.5068493150684,2022.2547945205479,185.0,3.5,1.5,0,Other Healthcare Technology Systems,0
82480-24,Activ Technologies,2015.1178082191782,2022.9315068493152,13.5,5.42,2.42,0,Business/Productivity Software,0
168300-37,AcuamarkDx,2016.876712328767,2022.2602739726028,66.62,16.6,1.6,0,Other Healthcare Technology Systems,0
109790-83,Adient Medical,2013.676712328767,2022.4493150684932,43.0,2.36,0.36,0,Surgical Devices,0
436541-68,Advanced Material Development,2018.358904109589,2022.772602739726,33.52,3.11,1.04,0,Automation/Workflow Software,0
303048-82,Advanced Ophthalmic Systems,2017.4712328767123,2023.309589041096,33.16,1.13,0.24,0,Other Healthcare Technology Systems,0
56318-77,Aerin Medical,2011.945205479452,2022.454794520548,260.0,1.13,0.13,0,Therapeutic Devices,0
264536-74,Aero (Air),2018.3561643835617,2022.627397260274,300.0,18.5,3.5,0,Air,0
435375-64,Affective Software,2018.3561643835617,2022.7589041095891,45.0,6.3,1.3,0,Social/Platform Software,0
230562-46,Afresh,2018.0109589041097,2022.1835616438357,391.71,6.65,1.65,0,Business/Productivity Software,0
81858-88,AgriWebb,2014.5808219178082,2022.7780821917809,41.16,3.09,0.47,Livestock Health,Business/Productivity Software,0
227368-63,AgVend,2018.2547945205479,2022.7808219178082,80.0,6.25,1.75,0,Business/Productivity Software,0
110269-72,AI Dynamics,2016.227397260274,2022.7424657534248,43.39,13.7,4.7,0,Software Development Applications,0
222283-00,Air (Business/Productivity Software),2017.7479452054795,2022.0684931506848,110.0,11.68,1.68,Generative AI,Business/Productivity Software,0
226031-32,Airspace Technologies,2017.6465753424657,2022.3917808219178,420.0,10.0,2.5,0,Logistics,0
187923-25,Aisera,2017.495890410959,2022.227397260274,638.29,30.55,10.55,0,Business/Productivity Software,0
182199-43,Aiven,2017.6602739726027,2022.3561643835617,3200.0,3.32,0.71,0,Database Software,1
179715-34,Akston Biosciences,2013.1205479452055,2022.282191780822,189.16,5.5,0.7,0,Drug Discovery,0
490715-47,Aladdin,2018.0,2023.0027397260274,9.0,0.02,0.01,0,Financial Software,0
64032-31,Aledade,2014.4602739726026,2022.427397260274,3100.0,14.69,4.5,0,Enterprise Systems (Healthcare),1
343243-18,Alef (Automotive),2017.2575342465752,2022.0876712328768,21.42,1.2,0.3,0,Automotive,0
42464-62,Alianza,2005.5287671232877,2023.1397260273973,221.5,5.0,2.0,0,Telecommunications Service Providers,0
52649-65,AliveCor,2011.6082191780822,2022.6219178082192,980.0,9.5,3.5,0,Monitoring Equipment,0
233788-69,Alma (Clinics/Outpatient Services),2017.972602739726,2022.6465753424657,800.0,8.0,3.0,0,Clinics/Outpatient Services,0
126055-90,AlphaFlow,2016.2219178082191,2022.2191780821918,100.0,1.71,0.12,Real Estate Crowdfunding,Specialized Finance,0
125615-80,Alto (Financial Software),2016.0,2022.0082191780823,289.94,4.0,0.95,0,Financial Software,0
154454-59,Altwork,2014.7835616438356,2022.7479452054795,25.0,3.54,0.54,0,Business Equipment and Supplies,0
155945-98,Amalgam,2016.227397260274,2023.0054794520547,167.36,1.22,0.22,0,Enterprise Systems (Healthcare),0
54694-36,Amaze Software,2013.1671232876713,2022.6109589041096,58.5,15.1,5.1,0,Software Development Applications,0
221567-23,Amberdata,2017.7972602739726,2022.33698630137,310.0,13.93,2.09,Decentralized Finance,Financial Software,0
343523-80,Ampcera,2018.3260273972603,2022.945205479452,90.0,10.0,1.0,0,Other Materials,0
51748-21,AnaBios,2011.6849315068494,2022.3945205479451,36.5,2.72,1.32,0,Drug Discovery,0
500881-69,Anaxiom,2016.2027397260274,2023.123287671233,1.7,2.9,0.9,0,Other Commercial Products,0
223461-82,Anduril,2017.6465753424657,2022.9178082191781,8480.0,97.5,17.5,0,Aerospace and Defense,1
99463-96,AngelEye Health,2013.2465753424658,2022.841095890411,30.39,0.82,0.2,0,Other Healthcare Technology Systems,0
96959-62,Anutra Medical,2013.964383561644,2022.6657534246576,20.0,8.23,1.23,0,Medical Supplies,0
181676-44,Anvyl,2017.4191780821918,2022.123287671233,66.0,12.5,2.5,0,Business/Productivity Software,0
229084-21,Anyplace,2015.5123287671233,2022.5123287671233,41.19,1.5,0.3,0,Application Software,0
61093-90,Anyroad,2017.2547945205479,2022.1479452054793,397.0,10.0,6.0,0,Business/Productivity Software,0
222742-09,Anzu,2016.9178082191781,2022.358904109589,180.0,7.38,1.5,0,Media and Information Services (B2B),0
60292-00,APDS,2014.4082191780822,2022.3972602739725,72.0,8.0,2.6,0,Other Commercial Services,0
82574-83,APImetrics,2016.1534246575343,2022.0383561643835,15.5,3.0,1.0,0,Business/Productivity Software,0
114850-54,Apix Analytics,2015.2794520547945,2022.8931506849315,21.71,10.53,3.99,0,Oil and Gas Equipment,0
